year,value,ay,az
1487658023.69139,0.0033949816133827,0.00457145785912871,-0.887324690818787
1487658023.70164,0.000572471122723073,0.00605424772948027,-0.885769367218018
1487658023.71043,-0.00309650460258126,0.00991423334926367,-0.88360607624054
1487658023.72068,-0.0056854928843677,0.0144826406612992,-0.881682634353638
1487658023.73094,-0.00554613396525383,0.0170790739357471,-0.880361974239349
1487658023.74119,-0.00368035910651088,0.0212449468672276,-0.879525542259216
1487658023.74998,-0.000657413969747722,0.0257414244115353,-0.879703164100647
1487658023.76023,0.00370630086399615,0.0302444472908974,-0.880880117416382
1487658023.77049,0.00877179577946663,0.0350815467536449,-0.88277667760849
1487658023.78074,0.0142383733764291,0.0399312861263752,-0.884359121322632
1487658023.78953,0.0206229891628027,0.0444237738847733,-0.884706020355225
1487658023.80125,0.0284206531941891,0.048599150031805,-0.883828997612
1487658023.81004,0.0372201278805733,0.0525511465966702,-0.882136583328247
1487658023.82029,0.0459590405225754,0.0564332194626331,-0.879852175712585
1487658023.82908,0.0535277500748634,0.060280479490757,-0.876967430114746
1487658023.83934,0.0602193661034107,0.0650696381926537,-0.873929560184479
1487658023.84959,0.0678138136863708,0.0719839185476303,-0.871167540550232
1487658023.85984,0.0777085348963737,0.0810758322477341,-0.868797063827515
1487658023.86863,0.0894788801670074,0.0922503247857094,-0.866994202136993
1487658023.87889,0.101512506604195,0.105392530560493,-0.865976870059967
1487658023.88914,0.112686038017273,0.119983956217766,-0.865578174591064
1487658023.89939,0.123119093477726,0.135212004184723,-0.86498749256134
1487658023.90818,0.133360087871552,0.149790748953819,-0.863437533378601
1487658023.91844,0.143659293651581,0.162476524710655,-0.860813617706299
1487658023.92869,0.153508767485619,0.172692626714706,-0.857752025127411
1487658023.93895,0.162731856107712,0.183496326208115,-0.853931069374084
1487658023.94773,0.1717768907547,0.194750845432281,-0.849203407764435
1487658023.95799,0.181417897343636,0.205581456422806,-0.843179702758789
1487658023.96824,0.192023515701294,0.216604948043823,-0.835773229598999
1487658023.9785,0.203438073396683,0.228428795933723,-0.82713770866394
1487658023.98729,0.215009942650795,0.240749880671501,-0.81791478395462
1487658023.99754,0.226321160793304,0.25323686003685,-0.808681547641754
1487658024.00779,0.237954959273338,0.266115635633469,-0.799286425113678
1487658024.01805,0.249699860811234,0.280043870210648,-0.789876461029053
